,Company,Farm,Adult_female_lice_Average_per_fish,date
0,Scottish Salmon Company Ltd,Ardcastle Bay,0,01/01/2018
1,Scottish Salmon Company Ltd,Ardgadden,0.01,01/01/2018
2,Scottish Salmon Company Ltd,Glenan Bay,0,01/01/2018
3,Scottish Salmon Company Ltd,Gob a Bharra,0,01/01/2018
4,Scottish Salmon Company Ltd,Meall Mhor,0,01/01/2018
5,Scottish Salmon Company Ltd,Quarry Point,0,01/01/2018
6,Scottish Salmon Company Ltd,Rubha Stillaig,0.01,01/01/2018
7,Scottish Salmon Company Ltd,Strondoir Bay,0.01,01/01/2018
8,Scottish Salmon Company Ltd,Tarbert South,0,01/01/2018
9,Scottish Salmon Company Ltd,Ardcastle Bay,0,01/02/2018
10,Scottish Salmon Company Ltd,Ardgadden,0,01/02/2018
11,Scottish Salmon Company Ltd,Glenan Bay,0.01,01/02/2018
12,Scottish Salmon Company Ltd,Gob a Bharra,0,01/02/2018
13,Scottish Salmon Company Ltd,Meall Mhor,0,01/02/2018
14,Scottish Salmon Company Ltd,Quarry Point,0.01,01/02/2018
15,Scottish Salmon Company Ltd,Rubha Stillaig,0.08,01/02/2018
16,Scottish Salmon Company Ltd,Strondoir Bay,0,01/02/2018
17,Scottish Salmon Company Ltd,Tarbert South,0.01,01/02/2018
18,Scottish Salmon Company Ltd,Ardcastle Bay,0,01/03/2018
19,Scottish Salmon Company Ltd,Ardgadden,0,01/03/2018
20,Scottish Salmon Company Ltd,Glenan Bay,0.01,01/03/2018
21,Scottish Salmon Company Ltd,Gob a Bharra,0.02,01/03/2018
22,Scottish Salmon Company Ltd,Meall Mhor,0,01/03/2018
23,Scottish Salmon Company Ltd,Quarry Point,0.01,01/03/2018
24,Scottish Salmon Company Ltd,Rubha Stillaig,0.03,01/03/2018
25,Scottish Salmon Company Ltd,Strondoir Bay,0,01/03/2018
26,Scottish Salmon Company Ltd,Tarbert South,0.01,01/03/2018
27,Scottish Salmon Company Ltd,Ardcastle Bay,0,01/04/2018
28,Scottish Salmon Company Ltd,Ardgadden,0,01/04/2018
29,Scottish Salmon Company Ltd,Glenan Bay,0,01/04/2018
30,Scottish Salmon Company Ltd,Gob a Bharra,0.01,01/04/2018
31,Scottish Salmon Company Ltd,Meall Mhor,0,01/04/2018
32,Scottish Salmon Company Ltd,Quarry Point,0,01/04/2018
33,Scottish Salmon Company Ltd,Rubha Stillaig,0.03,01/04/2018
34,Scottish Salmon Company Ltd,Strondoir Bay,0,01/04/2018
35,Scottish Salmon Company Ltd,Tarbert South,0,01/04/2018
36,Scottish Salmon Company Ltd,Ardcastle Bay,0,01/05/2018
37,Scottish Salmon Company Ltd,Ardgadden,0.02,01/05/2018
38,Scottish Salmon Company Ltd,Glenan Bay,0.02,01/05/2018
39,Scottish Salmon Company Ltd,Gob a Bharra,0.04,01/05/2018
40,Scottish Salmon Company Ltd,Meall Mhor,0,01/05/2018
41,Scottish Salmon Company Ltd,Quarry Point,0,01/05/2018
42,Scottish Salmon Company Ltd,Rubha Stillaig,0.04,01/05/2018
43,Scottish Salmon Company Ltd,Strondoir Bay,0,01/05/2018
44,Scottish Salmon Company Ltd,Tarbert South,0.01,01/05/2018
45,Scottish Salmon Company Ltd,Ardcastle Bay,0.04,01/06/2018
46,Scottish Salmon Company Ltd,Ardgadden,0.21,01/06/2018
47,Scottish Salmon Company Ltd,Glenan Bay,0.14,01/06/2018
48,Scottish Salmon Company Ltd,Gob a Bharra,0.13,01/06/2018
49,Scottish Salmon Company Ltd,Meall Mhor,0,01/06/2018
50,Scottish Salmon Company Ltd,Quarry Point,0.03,01/06/2018
51,Scottish Salmon Company Ltd,Rubha Stillaig,0.14,01/06/2018
52,Scottish Salmon Company Ltd,Strondoir Bay,0.04,01/06/2018
53,Scottish Salmon Company Ltd,Tarbert South,0.07,01/06/2018
