,Farm,version,iteration,count_mu,sum_in,sum_out,Fself,Edays_in,Edays_out,Edays_self,ncages
0,1,f2,0,0.007014337529310001,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
1,2,f2,0,0.013050913555,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
2,3,f2,0,0.00802448144019,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
3,4,f2,0,0.00680022483709,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
4,5,f2,0,0.005491470159359999,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
5,6,f2,0,0.00967139814829,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
6,7,f2,0,0.010308183879500001,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
7,8,f2,0,0.00468828402157,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
8,9,f2,0,0.00794399821614,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
9,1,f2,1,0.00690362462086,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
10,2,f2,1,0.012702197172100001,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
11,3,f2,1,0.00857361348914,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
12,4,f2,1,0.00673376535695,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
13,5,f2,1,0.005279311107710001,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
14,6,f2,1,0.009418611398909999,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
15,7,f2,1,0.00987088237841,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
16,8,f2,1,0.0046410324815,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
17,9,f2,1,0.007793190274689999,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
18,1,f2,2,0.006832888191020001,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
19,2,f2,2,0.012855231352500001,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
20,3,f2,2,0.008214864564600001,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
21,4,f2,2,0.00656661167775,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
22,5,f2,2,0.00538771582443,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
23,6,f2,2,0.00986648898655,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
24,7,f2,2,0.010095193847,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
25,8,f2,2,0.004749032109770001,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
26,9,f2,2,0.007538896739209999,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
27,1,f2,3,0.006530353630800001,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
28,2,f2,3,0.0123797795521,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
29,3,f2,3,0.00840077006773,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
30,4,f2,3,0.006532604479810001,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
31,5,f2,3,0.00524175616169,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
32,6,f2,3,0.00966397769455,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
33,7,f2,3,0.010491412027200001,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
34,8,f2,3,0.00464117281695,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
35,9,f2,3,0.00772149126238,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
36,1,f2,4,0.006464165290439999,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
37,2,f2,4,0.01267886533,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
38,3,f2,4,0.00871084838486,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
39,4,f2,4,0.00661318308232,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
40,5,f2,4,0.0054092378023599995,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
41,6,f2,4,0.00985561693235,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
