date,site_name,site_id,lice_count,mortality,cumulative_mortality,lice_note,mortality_comment
2018-01-15,Ardcastle,FFMC43,0.0,0.4,In production,,
2018-01-15,Ardgaddan,FFMC47,0.01,0.6,In production,,
2018-01-15,Glenan Bay,FFMC10,0.0,0.4,In production,,
2018-01-15,Gob a Bharra,FFMC46,0.0,0.4,In production,,
2018-01-15,Meall Mhor,FFMC14,0.0,0.2,In production,,
2018-01-15,Quarry Point,FFMC29,0.0,0.8,In production,,
2018-01-15,Rubha Stillaig,FFMC66,0.01,0.3,In production,,
2018-01-15,Strondoir Bay,FFMC70,0.01,0.6,In production,,
2018-01-15,Tarbert South,FFMC49,0.0,0.3,In production,,
2018-02-15,Ardcastle,FFMC43,0.0,0.2,In production,,
2018-02-15,Ardgaddan,FFMC47,0.0,0.6,In production,,
2018-02-15,Glenan Bay,FFMC10,0.01,0.4,In production,,
2018-02-15,Gob a Bharra,FFMC46,0.0,0.4,In production,,
2018-02-15,Meall Mhor,FFMC14,0.0,0.4,In production,,
2018-02-15,Quarry Point,FFMC29,0.01,0.9,In production,,
2018-02-15,Rubha Stillaig,FFMC66,0.08,0.2,In production,,
2018-02-15,Strondoir Bay,FFMC70,0.0,0.4,In production,,
2018-02-15,Tarbert South,FFMC49,0.01,0.3,In production,,
2018-03-15,Ardcastle,FFMC43,0.0,0.6,In production,,
2018-03-15,Ardgaddan,FFMC47,0.0,0.8,In production,,
2018-03-15,Glenan Bay,FFMC10,0.01,1.2,In production,,
2018-03-15,Gob a Bharra,FFMC46,0.02,0.6,In production,,
2018-03-15,Meall Mhor,FFMC14,0.0,2.2,In production,,
2018-03-15,Quarry Point,FFMC29,0.01,0.4,In production,,
2018-03-15,Rubha Stillaig,FFMC66,0.03,0.7,In production,,
2018-03-15,Strondoir Bay,FFMC70,0.0,0.4,In production,,
2018-03-15,Tarbert South,FFMC49,0.01,0.4,In production,,
2018-04-15,Ardcastle,FFMC43,0.0,0.6,In production,,
2018-04-15,Ardgaddan,FFMC47,0.0,2.4,In production,,
2018-04-15,Glenan Bay,FFMC10,0.0,1.4,In production,,
2018-04-15,Gob a Bharra,FFMC46,0.01,1.8,In production,,
2018-04-15,Meall Mhor,FFMC14,0.0,3.6,In production,,
2018-04-15,Quarry Point,FFMC29,0.0,0.6,In production,,
2018-04-15,Rubha Stillaig,FFMC66,0.03,0.6,In production,,
2018-04-15,Strondoir Bay,FFMC70,0.0,0.5,In production,,
2018-04-15,Tarbert South,FFMC49,0.0,1.0,In production,,
2018-05-15,Ardcastle,FFMC43,0.0,0.2,In production,,
2018-05-15,Ardgaddan,FFMC47,0.02,0.2,In production,,
2018-05-15,Glenan Bay,FFMC10,0.02,0.3,In production,,
2018-05-15,Gob a Bharra,FFMC46,0.04,0.3,In production,,
