May 2019

Company,Farm,Adult female lice (Average per fish)
Cooke Aquaculture (Scotland),Balta Isle,0.20
Cooke Aquaculture (Scotland),Bastaness,0.83
Cooke Aquaculture (Scotland),Bay of Cleat (North),0.00
Cooke Aquaculture (Scotland),Bay of Ham,Fallow
Cooke Aquaculture (Scotland),Bay of Vady,0.00
Cooke Aquaculture (Scotland),Bow of Hascosay,2.01
Cooke Aquaculture (Scotland),Burkwell,2.24
Cooke Aquaculture (Scotland),Burrastow,1.85 (Farm fallowed in May)
Cooke Aquaculture (Scotland),Carness Bay,0.00
Cooke Aquaculture (Scotland),Chalmers Hope,0.00
Cooke Aquaculture (Scotland),Cloudin,1.01
Cooke Aquaculture (Scotland),Djubawick,1.04
Cooke Aquaculture (Scotland),East Skelwick,0.00
Cooke Aquaculture (Scotland),Fara West,Fallow
Cooke Aquaculture (Scotland),Flaeshins,0.65
Cooke Aquaculture (Scotland),Hogan,Fallow
Cooke Aquaculture (Scotland),Kirk Noust,No count - farm recently stocked
Cooke Aquaculture (Scotland),Kirkabister,Fallow
Cooke Aquaculture (Scotland),Lyrawa Bay,Fallow
Cooke Aquaculture (Scotland),Meil Bay,0.00
Cooke Aquaculture (Scotland),MidTaing,Fallow
Cooke Aquaculture (Scotland),Ness of Copister,0.04
Cooke Aquaculture (Scotland),North Sandwick,0.43
Cooke Aquaculture (Scotland),Ouseness,0.00
Cooke Aquaculture (Scotland),Pegal Bay,0.00
Cooke Aquaculture (Scotland),Quanterness,0.00
Cooke Aquaculture (Scotland),South Cava,0.00
Cooke Aquaculture (Scotland),Staid of Aithness,0.01
Cooke Aquaculture (Scotland),Uyea Isle,2.75
Cooke Aquaculture (Scotland),Vee Taing,Fallow
Cooke Aquaculture (Scotland),Vestness,0.00
Cooke Aquaculture (Scotland),Wick of Belmont,0.11
Cooke Aquaculture (Scotland),Wick of Vatsetter,Fallow
Cooke Aquaculture (Scotland),Winna Ness,Fallow
Grieg Seafood Shetland Ltd,Bomlo,0.22
Grieg Seafood Shetland Ltd,Coledeep,0.03
Grieg Seafood Shetland Ltd,Corlarach,Fallow
Grieg Seafood Shetland Ltd,East of Papa Little,0.05
Grieg Seafood Shetland Ltd,Foraness,0.61
Grieg Seafood Shetland Ltd,Gob na Hoe,Farm fallowed in May
Grieg Seafood Shetland Ltd,Langa,3.60
Grieg Seafood Shetland Ltd,Leinish,Farm fallowed in May
Grieg Seafood Shetland Ltd,North Papa,1.63
Grieg Seafood Shetland Ltd,North Voe,0.69
Grieg Seafood Shetland Ltd,Poseidon,0.36
Grieg Seafood Shetland Ltd,Railsbrough,0.11 (Farm fallowed in May)
Grieg Seafood Shetland Ltd,Score Holms,4.84
Grieg Seafood Shetland Ltd,Setter,Fallow
Grieg Seafood Shetland Ltd,Snizort East,Fallow
Grieg Seafood Shetland Ltd,South of Linga,0.16
Grieg Seafood Shetland Ltd,Swining 3,0.08
Grieg Seafood Shetland Ltd,Uig Bay,0.00 (Farm stocked in May)
Grieg Seafood Shetland Ltd,West of Burwick,1.03
Hendrix-Genetics,Ormsary,0.05
Loch Duart Ltd,Badcall,0.00 (Farm stocked in May)
Loch Duart Ltd,Calbha Bay,0.04
Loch Duart Ltd,Drumbeg,Fallow
Loch Duart Ltd,Loch a Chairn Bhain,0.00
Loch Duart Ltd,Loch Carnan,2.19
Loch Duart Ltd,Loch Laxford,0.04
Loch Duart Ltd,Lochmaddy,0.00
Loch Duart Ltd,Oldany,0.53
Loch Duart Ltd,Outer Bay,Broodstock - visual checks
Loch Duart Ltd,Sound of Harris,0.33
Mowi Scotland Limited,Ardintoul,0.08
Mowi Scotland Limited,Ardnish,0.13
Mowi Scotland Limited,Bagh Dail Nan Cean,0.18
Mowi Scotland Limited,Boisdale (An Camus),Fallow
Mowi Scotland Limited,Cairidh,0.91
Mowi Scotland Limited,Camas Glas,0.14
Mowi Scotland Limited,Caolas a Deas East,0.04
Mowi Scotland Limited,Caolas a Deas West,0.04
Mowi Scotland Limited,Carradale,Fallow
Mowi Scotland Limited,Carradale North,Fallow
Mowi Scotland Limited,Colonsay,0.00
Mowi Scotland Limited,Duich,0.02
Mowi Scotland Limited,Glencripesdale,Fallow
Mowi Scotland Limited,Gorsten,0.10
Mowi Scotland Limited,Greshornish,0.00
Mowi Scotland Limited,Grey Horse Channel,0.05
Mowi Scotland Limited,Groatay,0.15
Mowi Scotland Limited,Harport,0.04
Mowi Scotland Limited,Hellisay,0.47 (Farm stocked in May)
Mowi Scotland Limited,Invasion Bay,0.04
Mowi Scotland Limited,Isle Ewe,0.00
Mowi Scotland Limited,Kingairloch,0.63
Mowi Scotland Limited,Leven,0.34
Mowi Scotland Limited,Linnhe,0.37
Mowi Scotland Limited,Loch Alsh,0.10
Mowi Scotland Limited,Loch Hourn,0.48
Mowi Scotland Limited,Macleans Nose,0.07
Mowi Scotland Limited,Maol Ban,0.82
Mowi Scotland Limited,Marulaig Bay,Fallow
Mowi Scotland Limited,Muck,0.22
Mowi Scotland Limited,North Shore,0.05
Mowi Scotland Limited,North Shore East,0.02
Mowi Scotland Limited,Noster,0.00
Mowi Scotland Limited,Ornish,1.58
Mowi Scotland Limited,Poll Na Gille,0.14
Mowi Scotland Limited,Port Na Cro,0.23
