,Company,Farm,Adult female lice (Average per fish),date,External pressure 750/day,,External pressure 1000/day,,,
,,all_farms,0.00,01/09/2017,,0.00,,0.01,,
,,,,,0.04,,0.05,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,8,Ardcastle Bay
,,,,,0.00,,0.01,,7,Ardgadden
,,,,,0.00,,0.00,,3,Glenan Bay
,,,,,,,,,5,Gob a Bharra
,,,,,0.00,,0.00,,4,Meall Mhor
,,all_farms,0.00,01/10/2017,0.12,0.03,0.16,0.04,9,Quarry Point
,,,,,0.08,,0.11,,2,Rubha Stillaig
,,,,,0.04,,0.05,,6,Strondoir Bay
,,,,,0.03,,0.05,,1,Tarbert South
,,,,,0.02,,0.02,,,
,,,,,0.01,,0.01,,,
,,,,,0.00,,0.00,,,
,,,,,0.00,,0.00,,,
,,,,,0.00,,0.00,,,
,,all_farms,0.00,01/11/2017,0.04,0.00,0.05,0.01,,
,,,,,0.00,,0.00,,,
,,,,,0.00,,0.00,,,
,,,,,0.00,,0.00,,,
,,,,,0.00,,0.00,,,
,,,,,0.00,,0.00,,,
,,,,,0.00,,0.00,,,
,,,,,0.00,,0.00,,,
,,,,,0.00,,0.00,,,
,,all_farms,0.00,01/12/2017,0.08,0.02,0.11,0.02,,
,,,,,0.00,,0.00,,,
,,,,,0.06,,0.08,,,
,,,,,0.02,,0.03,,,
,,,,,0.00,,0.00,,,
,,,,,0.00,,0.00,,,
,,,,,0.00,,0.00,,,
,,,,,0.00,,0.00,,,
,,,,,0.00,,0.00,,,
8,Scottish Salmon Company Ltd,1,0.00,01/01/2018,0.00,,0.00,,,
6,Scottish Salmon Company Ltd,2,0.01,01/01/2018,0.00,,0.00,,,
2,Scottish Salmon Company Ltd,3,0.00,01/01/2018,0.00,,0.00,,,
4,Scottish Salmon Company Ltd,4,0.00,01/01/2018,0.00,,0.00,,,
3,Scottish Salmon Company Ltd,5,0.00,01/01/2018,0.00,,0.00,,,
7,Scottish Salmon Company Ltd,6,0.01,01/01/2018,0.00,,0.00,,,
1,Scottish Salmon Company Ltd,7,0.01,01/01/2018,0.00,,0.00,,,
0,Scottish Salmon Company Ltd,8,0.00,01/01/2018,0.01,,0.02,,,
5,Scottish Salmon Company Ltd,9,0.00,01/01/2018,0.01,,0.01,,,
17,Scottish Salmon Company Ltd,1,0.01,01/02/2018,0.00,,0.01,,,
15,Scottish Salmon Company Ltd,2,0.08,01/02/2018,0.00,,0.01,,,
11,Scottish Salmon Company Ltd,3,0.01,01/02/2018,0.00,,0.01,,,
13,Scottish Salmon Company Ltd,4,0.00,01/02/2018,0.00,,0.00,,,
12,Scottish Salmon Company Ltd,5,0.00,01/02/2018,0.00,,0.00,,,
16,Scottish Salmon Company Ltd,6,0.00,01/02/2018,0.00,,0.01,,,
10,Scottish Salmon Company Ltd,7,0.00,01/02/2018,0.00,,0.00,,,
9,Scottish Salmon Company Ltd,8,0.00,01/02/2018,0.06,,0.08,,,
14,Scottish Salmon Company Ltd,9,0.01,01/02/2018,0.06,,0.08,,,
26,Scottish Salmon Company Ltd,1,0.01,01/03/2018,0.00,,0.00,,,
24,Scottish Salmon Company Ltd,2,0.03,01/03/2018,0.00,,0.00,,,
20,Scottish Salmon Company Ltd,3,0.01,01/03/2018,0.00,,0.00,,,
22,Scottish Salmon Company Ltd,4,0.00,01/03/2018,0.00,,0.00,,,
21,Scottish Salmon Company Ltd,5,0.02,01/03/2018,0.00,,0.00,,,
25,Scottish Salmon Company Ltd,6,0.00,01/03/2018,0.00,,0.00,,,
19,Scottish Salmon Company Ltd,7,0.00,01/03/2018,0.00,,0.00,,,
18,Scottish Salmon Company Ltd,8,0.00,01/03/2018,0.00,,0.00,,,
23,Scottish Salmon Company Ltd,9,0.01,01/03/2018,0.00,,0.00,,,
35,Scottish Salmon Company Ltd,1,0.00,01/04/2018,0.00,,0.00,,,
33,Scottish Salmon Company Ltd,2,0.03,01/04/2018,0.00,,0.00,,,
29,Scottish Salmon Company Ltd,3,0.00,01/04/2018,0.00,,0.00,,,
31,Scottish Salmon Company Ltd,4,0.00,01/04/2018,0.00,,0.00,,,
30,Scottish Salmon Company Ltd,5,0.01,01/04/2018,0.00,,0.00,,,
34,Scottish Salmon Company Ltd,6,0.00,01/04/2018,0.00,,0.00,,,
28,Scottish Salmon Company Ltd,7,0.00,01/04/2018,0.00,,0.00,,,
27,Scottish Salmon Company Ltd,8,0.00,01/04/2018,0.00,,0.00,,,
32,Scottish Salmon Company Ltd,9,0.00,01/04/2018,0.00,,0.00,,,
44,Scottish Salmon Company Ltd,1,0.01,01/05/2018,0.07,,0.10,,,
42,Scottish Salmon Company Ltd,2,0.04,01/05/2018,0.07,,0.10,,,
38,Scottish Salmon Company Ltd,3,0.02,01/05/2018,0.07,,0.09,,,
