,,,,Week 1,,,Week 2,,,Week 3,,,Week 4,,,Week 5,,,Week 6,,,Week 7,,,Week 8,,,Week 9,,,Week 10,,,Week 11,,,Week 12,,,Week 13,,,Week 14,,,Week 15,,,Week 16,,,Week 17,,,Week 18,,,Week 19,,,Week 20,,,Week 21,,,Week 22,,,Week 23,,,Week 24,,,Week 25,,,Week 26,,,Week 27,,,Week 28,,,Week 29,,,Week 30,,,Week 31,,,Week 32,,,Week 33,,,Week 34,,,Week 35,,,Week 36,,,Week 37,,,Week 38,,,Week 39,,,Week 40,,,Week 41,,,Week 42,,,Week 43,,,Week 44,,,Week 45,,,Week 46,,,Week 47,,,Week 48,,,Week 49,,,Week 50,,,Week 51,,,Week 52,,
Site No,Site Name,Business Name,Business No,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action
FS0242,Loch Odhairn/Gravir,The Scottish Salmon Company,FB0169,10.39,,,7.8,Physical,,no count,Physical,,3.76,Physical,Breach,2,,,,,,,,,,,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0570,Strome,The Scottish Salmon Company,FB0169,no count,,,6.97,Physical,,2.91,,Breach,,,,,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1118,Trilleachan Mor,The Scottish Salmon Company,FB0169,10.88,Bath,,4.55,,,8.25,,,6.08,Physical,Breach,0.44,,,<3,Cleanerfish,,4.28,Physical,,no count,Physical,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0708,Portree,The Scottish Salmon Company,FB0169,,,,3.48,Harvesting,,2.84,Physical & Harvesting,,2.84,,,<3,,,<3,Harvesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0593,Inch Kenneth,The Scottish Salmon Company,FB0169,,,,,,,3.13,,,3.4,,,3.2,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0336,Druimyeon Bay,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,3.45,Harvesting,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0839,Geasgill,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,3.51,Harvesting,,<3,,,,,,,Bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1233,Eughlam,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,,,No Count on fish talk,Physical,,<3,,,<3,,,,,,,,,,,,,,,,,,,,,4.93,Physical,,4.16,,,6.4,Physical,,8.6,Physical,,0.7,,,1.45,Harvesting,,7.2,Bath,Breach,0.3,,,no count,,,no count,,,2.93,,,3.93,Physical,,2.2,Physical,,1.1,Harvesting,,no count,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,
