,,,,Week 1,,,,Week 2,,,,Week 3,,,,Week 4,,,,Week 5,,,,Week 6,,,,Week 7,,,,Week 8,,,,Week 9,,,,Week 10,,,,Week 11,,,,Week 12,,,,Week 13,,,,Week 14,,,,Week 15,,,,Week 16,,,,Week 17,,,,Week 18,,,,Week 19,,,,Week 20,,,,Week 21,,,,Week 22,,,,Week 23,,,,Week 24,,,,Week 25,,,,Week 26,,,,Week 27,,,,Week 28,,,,Week 29,,,,Week 30,,,,Week 31,,,,Week 32,,,,Week 33,,,,Week 34,,,,Week 35,,,,Week 36,,,,Week 37,,,,Week 38,,,,Week 39,,,,Week 40,,,,Week 41,,,,Week 42,,,,Week 43,,,,Week 44,,,,Week 45,,,,Week 46,,,,Week 47,,,,Week 48,,,,Week 49,,,,Week 50,,,,Week 51,,,,Week 52,,,,Week 53,,,
Site No.,Site Name,Business Name,Business No.,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action
FS0245,Ardintoul,Mowi Scotland Ltd,FB0119,,,,,2.4,,,,0.37,Physical,,,,,,,,,,,,,,,,,,,,,,,3.72,,,,2.17,Bath,,,4.15,Bath,,,1.44,,,,2.05,Physical,Thermolicer,,0.84,,,,,,,,,,,,,,,,,,,,2.18,Bath,Salmosan,,2.56,Bath,Salmosan,,2.18,Bath,Salmosan,,3.28,Harvesting,,,no count,Harvesting,Adverse weather prevented count,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0249,Ardnish,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,Harvesting,,,1.3,,,,,,,,4.12,Harvesting,,,3.38,Harvesting,,,2.29,Harvesting,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1279,Bastaness,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,Physical,Hydrolicer,,<2,,,,3.54,Physical,Hydrolicer,,<2,,,,4.07,Physical,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1121,"Bight of Bellister, Dury Voe",Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,Physical,Delicing scheduled,
FS0292,Bight of Foraness,Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,,,,2.81,,,,2.83,,,,2.24,,,,2.86,,,,2.76,,,,2.72,,,,2.09,,,,2.43,,,,3.14,,,,2.1,,,,3.3,,,,3.6,,,,3.04,,,,3.03,,,,,3.47,Harvesting,,3.13,Harvesting,,,3.74,Harvesting,,,2.5,Harvesting,,,2.16,,,,1.25,,,,,,,,,,,,,,,,,,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0477,Bow of Hascosay,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,,,,4.28,Physical,also in feed Slice,,4.42,Physical,also Slice in feed,,5.01,Physical,,,4.56,Physical,Hydrolicer,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57,Physical,Salmosan.,,3.84,Physical,Salmosan.,,4.94,Physical,Salmosan.,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,Harvesting,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0413,Camas Glas,Mowi Scotland Ltd,FB0119,no count,Bath,,,2.19,Bath,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,,,,5.54,,,,2.6,Physical,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,3.26,Harvesting,,,2.78,Harvesting,,,5.63,Harvesting,,,7.75,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1291,Caolas A Deas,Mowi Scotland Ltd,FB0119,2.7,,,,2.38,,,,2.32,Physical,,,0.36,Physical,,,,,,,,,,,,,,,,,,,,,,,2.62,Bath,,,2.06,Bath,Salmosan & AMX,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
